Consequent,Antecedent,Supp,Conf,Lift
4_T,"('low_SL', 'Y_L', 'insufficient_LE', 'N_P')",0.05,0.84,4.92
low_SL,"('4_T', 'Y_L', 'insufficient_LE', 'N_P')",0.05,0.98,7.17
insufficient_LE,"('low_SL', '4_T', 'Y_L')",0.05,1.0,3.86
Y_L,"('low_SL', '4_T', 'insufficient_LE')",0.05,0.75,3.16
4_T,"('low_SL', 'Y_L', 'insufficient_LE')",0.05,0.84,4.92
low_SL,"('4_T', 'Y_L', 'insufficient_LE')",0.05,0.98,7.17
N_P,"('low_SL', '4_T', 'Y_L', 'intensive_H', 'N_WA')",0.05,1.0,1.02
N_WA,"('low_SL', '4_T', 'Y_L', 'intensive_H', 'N_P')",0.05,0.95,1.12
intensive_H,"('low_SL', '4_T', 'Y_L', 'N_WA', 'N_P')",0.05,0.99,1.98
Y_L,"('low_SL', '4_T', 'intensive_H', 'N_WA', 'N_P')",0.05,0.88,3.7
4_T,"('low_SL', 'Y_L', 'intensive_H', 'N_WA', 'N_P')",0.05,0.87,5.09
low_SL,"('4_T', 'Y_L', 'intensive_H', 'N_WA', 'N_P')",0.05,0.95,6.98
N_WA,"('low_SL', '4_T', 'Y_L', 'intensive_H')",0.05,0.95,1.12
intensive_H,"('low_SL', '4_T', 'Y_L', 'N_WA')",0.05,0.99,1.98
Y_L,"('low_SL', '4_T', 'intensive_H', 'N_WA')",0.05,0.88,3.7
4_T,"('low_SL', 'Y_L', 'intensive_H', 'N_WA')",0.05,0.87,5.1
low_SL,"('4_T', 'Y_L', 'intensive_H', 'N_WA')",0.05,0.95,6.98
N_P,"('low_SL', '4_T', 'Y_L', 'intensive_H')",0.05,1.0,1.02
intensive_H,"('low_SL', '4_T', 'Y_L', 'N_P')",0.05,0.99,1.97
Y_L,"('low_SL', '4_T', 'intensive_H', 'N_P')",0.05,0.86,3.6
4_T,"('low_SL', 'Y_L', 'intensive_H', 'N_P')",0.05,0.87,5.09
low_SL,"('4_T', 'Y_L', 'intensive_H', 'N_P')",0.05,0.95,6.96
intensive_H,"('low_SL', '4_T', 'Y_L')",0.05,0.99,1.97
Y_L,"('low_SL', '4_T', 'intensive_H')",0.05,0.86,3.6
4_T,"('low_SL', 'Y_L', 'intensive_H')",0.05,0.87,5.09
low_SL,"('4_T', 'Y_L', 'intensive_H')",0.05,0.95,6.96
N_P,"('low_SL', '4_T', 'Y_L', 'N_WA')",0.05,1.0,1.02
N_WA,"('low_SL', '4_T', 'Y_L', 'N_P')",0.05,0.95,1.11
Y_L,"('low_SL', '4_T', 'N_WA', 'N_P')",0.05,0.79,3.31
4_T,"('low_SL', 'Y_L', 'N_WA', 'N_P')",0.05,0.84,4.91
low_SL,"('4_T', 'Y_L', 'N_WA', 'N_P')",0.05,0.92,6.71
N_WA,"('low_SL', '4_T', 'Y_L')",0.05,0.95,1.11
Y_L,"('low_SL', '4_T', 'N_WA')",0.05,0.79,3.3
4_T,"('low_SL', 'Y_L', 'N_WA')",0.05,0.84,4.91
low_SL,"('4_T', 'Y_L', 'N_WA')",0.05,0.92,6.71
N_P,"('low_SL', '4_T', 'Y_L')",0.05,1.0,1.02
Y_L,"('low_SL', '4_T', 'N_P')",0.05,0.76,3.17
4_T,"('low_SL', 'Y_L', 'N_P')",0.05,0.84,4.92
low_SL,"('4_T', 'Y_L', 'N_P')",0.05,0.92,6.7
Y_L,"('low_SL', '4_T')",0.05,0.75,3.16
4_T,"('low_SL', 'Y_L')",0.05,0.84,4.92
low_SL,"('4_T', 'Y_L')",0.05,0.92,6.7
N_P,"('low_SL', '4_T', 'insufficient_LE', 'intensive_H', 'N_WA')",0.06,1.0,1.02
N_WA,"('low_SL', '4_T', 'insufficient_LE', 'intensive_H', 'N_P')",0.06,0.93,1.09
intensive_H,"('low_SL', '4_T', 'insufficient_LE', 'N_WA', 'N_P')",0.06,0.89,1.77
insufficient_LE,"('low_SL', '4_T', 'intensive_H', 'N_WA', 'N_P')",0.06,1.0,3.86
low_SL,"('4_T', 'insufficient_LE', 'intensive_H', 'N_WA', 'N_P')",0.06,0.98,7.14
N_WA,"('low_SL', '4_T', 'insufficient_LE', 'intensive_H')",0.06,0.93,1.08
intensive_H,"('low_SL', '4_T', 'insufficient_LE', 'N_WA')",0.06,0.88,1.76
insufficient_LE,"('low_SL', '4_T', 'intensive_H', 'N_WA')",0.06,1.0,3.86
low_SL,"('4_T', 'insufficient_LE', 'intensive_H', 'N_WA')",0.06,0.98,7.14
N_P,"('low_SL', '4_T', 'insufficient_LE', 'intensive_H')",0.06,0.99,1.02
intensive_H,"('low_SL', '4_T', 'insufficient_LE', 'N_P')",0.06,0.87,1.73
insufficient_LE,"('low_SL', '4_T', 'intensive_H', 'N_P')",0.06,1.0,3.86
low_SL,"('4_T', 'insufficient_LE', 'intensive_H', 'N_P')",0.06,0.97,7.13
intensive_H,"('low_SL', '4_T', 'insufficient_LE')",0.06,0.87,1.73
insufficient_LE,"('low_SL', '4_T', 'intensive_H')",0.06,1.0,3.86
low_SL,"('4_T', 'insufficient_LE', 'intensive_H')",0.06,0.98,7.13
N_P,"('low_SL', '4_T', 'insufficient_LE', 'N_WA')",0.07,0.99,1.02
N_WA,"('low_SL', '4_T', 'insufficient_LE', 'N_P')",0.07,0.91,1.07
insufficient_LE,"('low_SL', '4_T', 'N_WA', 'N_P')",0.07,1.0,3.86
low_SL,"('4_T', 'insufficient_LE', 'N_WA', 'N_P')",0.07,0.93,6.84
N_WA,"('low_SL', '4_T', 'insufficient_LE')",0.07,0.91,1.07
insufficient_LE,"('low_SL', '4_T', 'N_WA')",0.07,1.0,3.86
low_SL,"('4_T', 'insufficient_LE', 'N_WA')",0.07,0.93,6.84
N_P,"('low_SL', '4_T', 'insufficient_LE')",0.07,0.99,1.01
insufficient_LE,"('low_SL', '4_T', 'N_P')",0.07,1.0,3.86
low_SL,"('4_T', 'insufficient_LE', 'N_P')",0.07,0.93,6.83
insufficient_LE,"('low_SL', '4_T')",0.07,1.0,3.86
