,Consequent,Antecedent,Supp,Conf,Lift
1166,Y_L,"('2_NP', 'medium_SL', '3_T', 'standard_H', 'N_P')",0.1,0.92,3.88
1171,Y_L,"('2_NP', 'medium_SL', '3_T', 'standard_H')",0.1,0.92,3.88
1177,Y_L,"('2_NP', 'medium_SL', '3_T', 'N_WA', 'N_P')",0.1,0.91,3.83
1182,Y_L,"('2_NP', 'medium_SL', '3_T', 'N_WA')",0.1,0.91,3.83
1187,Y_L,"('2_NP', 'medium_SL', '3_T', 'N_P')",0.1,0.9,3.78
1191,Y_L,"('2_NP', 'medium_SL', '3_T')",0.1,0.9,3.78
1198,Y_L,"('2_NP', 'medium_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.06,0.89,3.75
1204,Y_L,"('2_NP', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.06,0.89,3.75
1210,Y_L,"('2_NP', 'medium_SL', 'low_S', 'standard_H', 'N_P')",0.06,0.88,3.7
1215,Y_L,"('2_NP', 'medium_SL', 'low_S', 'standard_H')",0.06,0.88,3.7
1221,Y_L,"('2_NP', 'medium_SL', 'low_S', 'N_WA', 'N_P')",0.06,0.86,3.61
1226,Y_L,"('2_NP', 'medium_SL', 'low_S', 'N_WA')",0.06,0.86,3.61
1231,Y_L,"('2_NP', 'medium_SL', 'low_S', 'N_P')",0.06,0.84,3.54
1235,Y_L,"('2_NP', 'medium_SL', 'low_S')",0.06,0.84,3.54
1241,Y_L,"('2_NP', 'medium_SL', 'standard_H', 'N_WA', 'N_P')",0.1,0.85,3.58
1246,Y_L,"('2_NP', 'medium_SL', 'standard_H', 'N_WA')",0.1,0.85,3.57
1251,Y_L,"('2_NP', 'medium_SL', 'standard_H', 'N_P')",0.1,0.84,3.53
1255,Y_L,"('2_NP', 'medium_SL', 'standard_H')",0.1,0.84,3.51
1260,Y_L,"('2_NP', 'medium_SL', 'N_WA', 'N_P')",0.1,0.81,3.4
1264,Y_L,"('2_NP', 'medium_SL', 'N_WA')",0.1,0.81,3.39
1268,Y_L,"('2_NP', 'medium_SL', 'N_P')",0.1,0.79,3.32
1271,Y_L,"('2_NP', 'medium_SL')",0.1,0.78,3.3
1278,Y_L,"('2_NP', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.06,0.91,3.83
1284,Y_L,"('2_NP', '3_T', 'low_S', 'standard_H', 'N_WA')",0.06,0.91,3.84
1290,Y_L,"('2_NP', '3_T', 'low_S', 'standard_H', 'N_P')",0.06,0.9,3.8
1295,Y_L,"('2_NP', '3_T', 'low_S', 'standard_H')",0.06,0.91,3.8
1301,Y_L,"('2_NP', '3_T', 'low_S', 'N_WA', 'N_P')",0.06,0.87,3.67
1306,Y_L,"('2_NP', '3_T', 'low_S', 'N_WA')",0.06,0.88,3.68
1311,Y_L,"('2_NP', '3_T', 'low_S', 'N_P')",0.06,0.86,3.62
1315,Y_L,"('2_NP', '3_T', 'low_S')",0.06,0.86,3.62
1321,Y_L,"('2_NP', '3_T', 'standard_H', 'N_WA', 'N_P')",0.1,0.89,3.75
1326,Y_L,"('2_NP', '3_T', 'standard_H', 'N_WA')",0.1,0.89,3.75
1331,Y_L,"('2_NP', '3_T', 'standard_H', 'N_P')",0.1,0.88,3.7
1335,Y_L,"('2_NP', '3_T', 'standard_H')",0.1,0.88,3.7
1340,Y_L,"('2_NP', '3_T', 'N_WA', 'N_P')",0.1,0.84,3.54
1344,Y_L,"('2_NP', '3_T', 'N_WA')",0.1,0.84,3.54
1348,Y_L,"('2_NP', '3_T', 'N_P')",0.1,0.82,3.46
1351,Y_L,"('2_NP', '3_T')",0.1,0.82,3.46
1357,Y_L,"('2_NP', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.06,0.83,3.48
1362,Y_L,"('2_NP', 'low_S', 'standard_H', 'N_WA')",0.06,0.83,3.47
1367,Y_L,"('2_NP', 'low_S', 'standard_H', 'N_P')",0.06,0.81,3.39
1371,Y_L,"('2_NP', 'low_S', 'standard_H')",0.06,0.81,3.39
1376,Y_L,"('2_NP', 'low_S', 'N_WA', 'N_P')",0.06,0.75,3.16
1379,Y_L,"('2_NP', 'low_S', 'N_WA')",0.06,0.75,3.15
1382,Y_L,"('2_NP', 'low_S', 'N_P')",0.06,0.72,3.02
1384,Y_L,"('2_NP', 'low_S')",0.06,0.72,3.02
1388,Y_L,"('2_NP', 'standard_H', 'N_WA', 'N_P')",0.1,0.78,3.26
1392,Y_L,"('2_NP', 'standard_H', 'N_WA')",0.1,0.77,3.25
1396,Y_L,"('2_NP', 'standard_H', 'N_P')",0.1,0.76,3.18
1399,Y_L,"('2_NP', 'standard_H')",0.1,0.75,3.16
1403,Y_L,"('2_NP', 'N_WA', 'N_P')",0.1,0.69,2.91
1405,Y_L,"('2_NP', 'N_WA')",0.1,0.69,2.9
1407,Y_L,"('2_NP', 'N_P')",0.1,0.66,2.78
1408,Y_L,"('2_NP',)",0.1,0.66,2.76
1949,Y_L,"('4_T', 'insufficient_LE', 'intensive_H', 'N_WA', 'N_P')",0.05,0.87,3.65
1954,Y_L,"('4_T', 'insufficient_LE', 'intensive_H', 'N_WA')",0.05,0.87,3.65
1959,Y_L,"('4_T', 'insufficient_LE', 'intensive_H', 'N_P')",0.05,0.84,3.55
1963,Y_L,"('4_T', 'insufficient_LE', 'intensive_H')",0.05,0.84,3.54
1968,Y_L,"('4_T', 'insufficient_LE', 'N_WA', 'N_P')",0.05,0.75,3.16
1971,Y_L,"('4_T', 'insufficient_LE', 'N_WA')",0.05,0.75,3.15
1974,Y_L,"('4_T', 'insufficient_LE', 'N_P')",0.06,0.72,3.03
1976,Y_L,"('4_T', 'insufficient_LE')",0.06,0.72,3.02
1980,Y_L,"('4_T', 'intensive_H', 'N_WA', 'N_P')",0.05,0.54,2.29
1983,Y_L,"('4_T', 'intensive_H', 'N_WA')",0.05,0.54,2.28
1986,Y_L,"('4_T', 'intensive_H', 'N_P')",0.06,0.51,2.16
1988,Y_L,"('4_T', 'intensive_H')",0.06,0.51,2.14
2585,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.94,3.96
2592,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.05,0.94,3.97
2599,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_P')",0.05,0.93,3.92
2605,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H')",0.05,0.93,3.92
2612,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA', 'N_P')",0.05,0.93,3.91
2618,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA')",0.05,0.93,3.91
2624,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_P')",0.05,0.92,3.86
2629,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'low_S')",0.05,0.92,3.86
2636,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA', 'N_P')",0.08,0.91,3.82
2642,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.08,0.9,3.8
2648,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_P')",0.09,0.9,3.77
2653,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'standard_H')",0.09,0.89,3.75
2659,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'N_WA', 'N_P')",0.08,0.89,3.76
2664,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'N_WA')",0.08,0.89,3.74
2669,Y_L,"('insufficient_LE', 'medium_SL', '3_T', 'N_P')",0.09,0.88,3.7
2673,Y_L,"('insufficient_LE', 'medium_SL', '3_T')",0.09,0.88,3.68
2680,Y_L,"('insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.85,3.59
2686,Y_L,"('insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.05,0.85,3.59
2692,Y_L,"('insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_P')",0.05,0.83,3.5
2697,Y_L,"('insufficient_LE', 'medium_SL', 'low_S', 'standard_H')",0.05,0.83,3.51
2703,Y_L,"('insufficient_LE', 'medium_SL', 'low_S', 'N_WA', 'N_P')",0.05,0.81,3.41
2708,Y_L,"('insufficient_LE', 'medium_SL', 'low_S', 'N_WA')",0.05,0.81,3.41
2713,Y_L,"('insufficient_LE', 'medium_SL', 'low_S', 'N_P')",0.05,0.79,3.32
2717,Y_L,"('insufficient_LE', 'medium_SL', 'low_S')",0.05,0.79,3.32
2723,Y_L,"('insufficient_LE', 'medium_SL', 'standard_H', 'N_WA', 'N_P')",0.08,0.8,3.38
2728,Y_L,"('insufficient_LE', 'medium_SL', 'standard_H', 'N_WA')",0.08,0.8,3.35
2733,Y_L,"('insufficient_LE', 'medium_SL', 'standard_H', 'N_P')",0.09,0.78,3.29
2737,Y_L,"('insufficient_LE', 'medium_SL', 'standard_H')",0.09,0.78,3.27
2742,Y_L,"('insufficient_LE', 'medium_SL', 'N_WA', 'N_P')",0.08,0.76,3.18
2746,Y_L,"('insufficient_LE', 'medium_SL', 'N_WA')",0.08,0.75,3.16
2750,Y_L,"('insufficient_LE', 'medium_SL', 'N_P')",0.09,0.73,3.07
2753,Y_L,"('insufficient_LE', 'medium_SL')",0.09,0.73,3.05
2760,Y_L,"('insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.89,3.75
2766,Y_L,"('insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_WA')",0.05,0.89,3.75
2772,Y_L,"('insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_P')",0.05,0.87,3.64
2777,Y_L,"('insufficient_LE', '3_T', 'low_S', 'standard_H')",0.05,0.87,3.65
2783,Y_L,"('insufficient_LE', '3_T', 'low_S', 'N_WA', 'N_P')",0.05,0.85,3.56
2788,Y_L,"('insufficient_LE', '3_T', 'low_S', 'N_WA')",0.05,0.85,3.56
2793,Y_L,"('insufficient_LE', '3_T', 'low_S', 'N_P')",0.05,0.82,3.44
2797,Y_L,"('insufficient_LE', '3_T', 'low_S')",0.05,0.82,3.44
2803,Y_L,"('insufficient_LE', '3_T', 'standard_H', 'N_WA', 'N_P')",0.08,0.86,3.6
2808,Y_L,"('insufficient_LE', '3_T', 'standard_H', 'N_WA')",0.08,0.85,3.58
2813,Y_L,"('insufficient_LE', '3_T', 'standard_H', 'N_P')",0.09,0.83,3.51
2817,Y_L,"('insufficient_LE', '3_T', 'standard_H')",0.09,0.83,3.49
2822,Y_L,"('insufficient_LE', '3_T', 'N_WA', 'N_P')",0.08,0.8,3.36
2826,Y_L,"('insufficient_LE', '3_T', 'N_WA')",0.08,0.79,3.34
2830,Y_L,"('insufficient_LE', '3_T', 'N_P')",0.09,0.77,3.25
2833,Y_L,"('insufficient_LE', '3_T')",0.09,0.77,3.23
2837,Y_L,"('insufficient_LE', 'medium_S', 'N_WA', 'N_P')",0.05,0.59,2.5
2840,Y_L,"('insufficient_LE', 'medium_S', 'N_WA')",0.05,0.59,2.47
2843,Y_L,"('insufficient_LE', 'medium_S', 'N_P')",0.06,0.56,2.36
2845,Y_L,"('insufficient_LE', 'medium_S')",0.06,0.56,2.33
2851,Y_L,"('insufficient_LE', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.7,2.95
2856,Y_L,"('insufficient_LE', 'low_S', 'standard_H', 'N_WA')",0.05,0.7,2.95
2861,Y_L,"('insufficient_LE', 'low_S', 'standard_H', 'N_P')",0.06,0.66,2.79
2865,Y_L,"('insufficient_LE', 'low_S', 'standard_H')",0.06,0.66,2.78
2870,Y_L,"('insufficient_LE', 'low_S', 'N_WA', 'N_P')",0.09,0.7,2.94
2874,Y_L,"('insufficient_LE', 'low_S', 'N_WA')",0.09,0.7,2.94
2878,Y_L,"('insufficient_LE', 'low_S', 'N_P')",0.09,0.66,2.78
2881,Y_L,"('insufficient_LE', 'low_S')",0.09,0.66,2.78
2886,Y_L,"('insufficient_LE', 'standard_H', 'N_WA', 'N_P')",0.09,0.64,2.67
2890,Y_L,"('insufficient_LE', 'standard_H', 'N_WA')",0.09,0.63,2.64
2894,Y_L,"('insufficient_LE', 'standard_H', 'N_P')",0.09,0.6,2.51
2897,Y_L,"('insufficient_LE', 'standard_H')",0.09,0.59,2.49
2900,Y_L,"('insufficient_LE', 'intensive_H', 'N_WA', 'N_P')",0.06,0.63,2.65
2902,Y_L,"('insufficient_LE', 'intensive_H', 'N_WA')",0.06,0.63,2.64
2904,Y_L,"('insufficient_LE', 'intensive_H', 'N_P')",0.06,0.6,2.51
2905,Y_L,"('insufficient_LE', 'intensive_H')",0.06,0.59,2.5
2909,Y_L,"('insufficient_LE', 'N_WA', 'N_P')",0.15,0.63,2.66
2912,Y_L,"('insufficient_LE', 'N_WA')",0.15,0.63,2.64
