,Consequent,Antecedent,Supp,Conf,Lift,Consequent_
932,3_T,"('2_NP', 'Y_L', 'insufficient_LE', 'low_S', 'standard_H', 'N_WA')",0.051,0.992,2.31, Time_Spend_Company:3 
939,3_T,"('2_NP', 'Y_L', 'insufficient_LE', 'low_S', 'standard_H', 'N_P')",0.053,0.992,2.31, Time_Spend_Company:3 
1169,3_T,"('2_NP', 'Y_L', 'medium_SL', 'standard_H')",0.101,0.991,2.307, Time_Spend_Company:3 
1158,3_T,"('2_NP', 'Y_L', 'medium_SL', 'standard_H', 'N_WA')",0.096,0.99,2.306, Time_Spend_Company:3 
1164,3_T,"('2_NP', 'Y_L', 'medium_SL', 'standard_H', 'N_P')",0.1,0.991,2.306, Time_Spend_Company:3 
1152,3_T,"('2_NP', 'Y_L', 'medium_SL', 'standard_H', 'N_WA', 'N_P')",0.095,0.99,2.305, Time_Spend_Company:3 
2589,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.051,0.99,2.304, Time_Spend_Company:3 
2582,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.99,2.304, Time_Spend_Company:3 
2602,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H')",0.053,0.989,2.302, Time_Spend_Company:3 
969,3_T,"('2_NP', 'Y_L', 'insufficient_LE', 'low_S')",0.053,0.989,2.302, Time_Spend_Company:3 
964,3_T,"('2_NP', 'Y_L', 'insufficient_LE', 'low_S', 'N_P')",0.053,0.989,2.302, Time_Spend_Company:3 
2596,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_P')",0.053,0.989,2.302, Time_Spend_Company:3 
952,3_T,"('2_NP', 'Y_L', 'insufficient_LE', 'low_S', 'N_WA', 'N_P')",0.05,0.988,2.301, Time_Spend_Company:3 
958,3_T,"('2_NP', 'Y_L', 'insufficient_LE', 'low_S', 'N_WA')",0.051,0.988,2.301, Time_Spend_Company:3 
1121,3_T,"('2_NP', 'Y_L', 'medium_SL', 'low_S', 'standard_H')",0.062,0.988,2.301, Time_Spend_Company:3 
1009,3_T,"('2_NP', 'Y_L', 'insufficient_LE', 'N_P')",0.086,0.988,2.301, Time_Spend_Company:3 
1013,3_T,"('2_NP', 'Y_L', 'insufficient_LE')",0.086,0.989,2.301, Time_Spend_Company:3 
2633,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA', 'N_P')",0.082,0.988,2.3, Time_Spend_Company:3 
1115,3_T,"('2_NP', 'Y_L', 'medium_SL', 'low_S', 'standard_H', 'N_P')",0.061,0.988,2.3, Time_Spend_Company:3 
2639,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA')",0.082,0.988,2.3, Time_Spend_Company:3 
999,3_T,"('2_NP', 'Y_L', 'insufficient_LE', 'N_WA', 'N_P')",0.082,0.988,2.3, Time_Spend_Company:3 
1004,3_T,"('2_NP', 'Y_L', 'insufficient_LE', 'N_WA')",0.082,0.988,2.3, Time_Spend_Company:3 
1108,3_T,"('2_NP', 'Y_L', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.059,0.988,2.299, Time_Spend_Company:3 
2645,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_P')",0.086,0.988,2.299, Time_Spend_Company:3 
2650,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'standard_H')",0.086,0.988,2.299, Time_Spend_Company:3 
1101,3_T,"('2_NP', 'Y_L', 'medium_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.059,0.988,2.299, Time_Spend_Company:3 
1334,3_T,"('2_NP', 'Y_L', 'standard_H')",0.101,0.986,2.296, Time_Spend_Company:3 
1330,3_T,"('2_NP', 'Y_L', 'standard_H', 'N_P')",0.1,0.986,2.296, Time_Spend_Company:3 
1325,3_T,"('2_NP', 'Y_L', 'standard_H', 'N_WA')",0.096,0.986,2.295, Time_Spend_Company:3 
1320,3_T,"('2_NP', 'Y_L', 'standard_H', 'N_WA', 'N_P')",0.095,0.986,2.294, Time_Spend_Company:3 
1185,3_T,"('2_NP', 'Y_L', 'medium_SL', 'N_P')",0.1,0.985,2.293, Time_Spend_Company:3 
1294,3_T,"('2_NP', 'Y_L', 'low_S', 'standard_H')",0.062,0.985,2.293, Time_Spend_Company:3 
1289,3_T,"('2_NP', 'Y_L', 'low_S', 'standard_H', 'N_P')",0.061,0.985,2.293, Time_Spend_Company:3 
1189,3_T,"('2_NP', 'Y_L', 'medium_SL')",0.101,0.985,2.293, Time_Spend_Company:3 
1283,3_T,"('2_NP', 'Y_L', 'low_S', 'standard_H', 'N_WA')",0.059,0.984,2.292, Time_Spend_Company:3 
1277,3_T,"('2_NP', 'Y_L', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.059,0.984,2.292, Time_Spend_Company:3 
1180,3_T,"('2_NP', 'Y_L', 'medium_SL', 'N_WA')",0.096,0.984,2.291, Time_Spend_Company:3 
1175,3_T,"('2_NP', 'Y_L', 'medium_SL', 'N_WA', 'N_P')",0.096,0.984,2.291, Time_Spend_Company:3 
1145,3_T,"('2_NP', 'Y_L', 'medium_SL', 'low_S')",0.062,0.982,2.286, Time_Spend_Company:3 
1140,3_T,"('2_NP', 'Y_L', 'medium_SL', 'low_S', 'N_P')",0.062,0.982,2.286, Time_Spend_Company:3 
1128,3_T,"('2_NP', 'Y_L', 'medium_SL', 'low_S', 'N_WA', 'N_P')",0.059,0.981,2.284, Time_Spend_Company:3 
1134,3_T,"('2_NP', 'Y_L', 'medium_SL', 'low_S', 'N_WA')",0.059,0.981,2.284, Time_Spend_Company:3 
2609,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'N_WA', 'N_P')",0.051,0.978,2.277, Time_Spend_Company:3 
2615,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'N_WA')",0.051,0.978,2.277, Time_Spend_Company:3 
2626,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S')",0.053,0.978,2.277, Time_Spend_Company:3 
2621,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'N_P')",0.053,0.978,2.276, Time_Spend_Company:3 
1413,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.052,0.976,2.272, Time_Spend_Company:3 
1420,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.052,0.976,2.272, Time_Spend_Company:3 
1350,3_T,"('2_NP', 'Y_L')",0.102,0.975,2.27, Time_Spend_Company:3 
1347,3_T,"('2_NP', 'Y_L', 'N_P')",0.101,0.975,2.27, Time_Spend_Company:3 
1427,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_P')",0.054,0.975,2.269, Time_Spend_Company:3 
1433,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H')",0.054,0.975,2.269, Time_Spend_Company:3 
1314,3_T,"('2_NP', 'Y_L', 'low_S')",0.063,0.974,2.268, Time_Spend_Company:3 
1343,3_T,"('2_NP', 'Y_L', 'N_WA')",0.097,0.974,2.267, Time_Spend_Company:3 
2670,3_T,"('Y_L', 'insufficient_LE', 'medium_SL')",0.087,0.974,2.267, Time_Spend_Company:3 
2666,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'N_P')",0.086,0.974,2.267, Time_Spend_Company:3 
1310,3_T,"('2_NP', 'Y_L', 'low_S', 'N_P')",0.062,0.974,2.267, Time_Spend_Company:3 
1339,3_T,"('2_NP', 'Y_L', 'N_WA', 'N_P')",0.096,0.974,2.267, Time_Spend_Company:3 
2661,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'N_WA')",0.083,0.973,2.266, Time_Spend_Company:3 
2979,3_T,"('Y_L', 'medium_SL', 'standard_H', 'N_P')",0.1,0.973,2.265, Time_Spend_Company:3 
2983,3_T,"('Y_L', 'medium_SL', 'standard_H')",0.101,0.973,2.265, Time_Spend_Company:3 
2656,3_T,"('Y_L', 'insufficient_LE', 'medium_SL', 'N_WA', 'N_P')",0.082,0.973,2.265, Time_Spend_Company:3 
1305,3_T,"('2_NP', 'Y_L', 'low_S', 'N_WA')",0.06,0.973,2.265, Time_Spend_Company:3 
1300,3_T,"('2_NP', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.059,0.973,2.264, Time_Spend_Company:3 
2974,3_T,"('Y_L', 'medium_SL', 'standard_H', 'N_WA')",0.096,0.972,2.264, Time_Spend_Company:3 
2969,3_T,"('Y_L', 'medium_SL', 'standard_H', 'N_WA', 'N_P')",0.096,0.972,2.263, Time_Spend_Company:3 
2926,3_T,"('Y_L', 'medium_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.059,0.971,2.262, Time_Spend_Company:3 
2943,3_T,"('Y_L', 'medium_SL', 'low_S', 'standard_H')",0.062,0.972,2.262, Time_Spend_Company:3 
2932,3_T,"('Y_L', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.059,0.972,2.262, Time_Spend_Company:3 
2938,3_T,"('Y_L', 'medium_SL', 'low_S', 'standard_H', 'N_P')",0.062,0.972,2.262, Time_Spend_Company:3 
1464,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA', 'N_P')",0.085,0.966,2.248, Time_Spend_Company:3 
1470,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA')",0.085,0.965,2.247, Time_Spend_Company:3 
1440,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'N_WA', 'N_P')",0.052,0.965,2.247, Time_Spend_Company:3 
1446,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'N_WA')",0.052,0.965,2.247, Time_Spend_Company:3 
1476,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_P')",0.089,0.965,2.247, Time_Spend_Company:3 
2806,3_T,"('Y_L', 'insufficient_LE', 'standard_H', 'N_WA')",0.083,0.964,2.245, Time_Spend_Company:3 
2801,3_T,"('Y_L', 'insufficient_LE', 'standard_H', 'N_WA', 'N_P')",0.082,0.964,2.244, Time_Spend_Company:3 
1481,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'standard_H')",0.09,0.963,2.243, Time_Spend_Company:3 
2815,3_T,"('Y_L', 'insufficient_LE', 'standard_H')",0.087,0.963,2.242, Time_Spend_Company:3 
2811,3_T,"('Y_L', 'insufficient_LE', 'standard_H', 'N_P')",0.086,0.963,2.241, Time_Spend_Company:3 
1595,3_T,"('2_NP', 'insufficient_LE', 'low_S', 'standard_H', 'N_WA')",0.052,0.962,2.24, Time_Spend_Company:3 
1457,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S')",0.054,0.962,2.24, Time_Spend_Company:3 
1452,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'N_P')",0.054,0.962,2.24, Time_Spend_Company:3 
1589,3_T,"('2_NP', 'insufficient_LE', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.052,0.962,2.239, Time_Spend_Company:3 
2764,3_T,"('Y_L', 'insufficient_LE', 'low_S', 'standard_H', 'N_WA')",0.051,0.957,2.229, Time_Spend_Company:3 
2758,3_T,"('Y_L', 'insufficient_LE', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.051,0.957,2.229, Time_Spend_Company:3 
1606,3_T,"('2_NP', 'insufficient_LE', 'low_S', 'standard_H')",0.055,0.956,2.226, Time_Spend_Company:3 
1601,3_T,"('2_NP', 'insufficient_LE', 'low_S', 'standard_H', 'N_P')",0.055,0.956,2.225, Time_Spend_Company:3 
2775,3_T,"('Y_L', 'insufficient_LE', 'low_S', 'standard_H')",0.053,0.955,2.223, Time_Spend_Company:3 
2770,3_T,"('Y_L', 'insufficient_LE', 'low_S', 'standard_H', 'N_P')",0.053,0.955,2.222, Time_Spend_Company:3 
1487,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'N_WA', 'N_P')",0.085,0.953,2.22, Time_Spend_Company:3 
1492,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'N_WA')",0.085,0.953,2.219, Time_Spend_Company:3 
1497,3_T,"('2_NP', 'insufficient_LE', 'medium_SL', 'N_P')",0.089,0.952,2.217, Time_Spend_Company:3 
1501,3_T,"('2_NP', 'insufficient_LE', 'medium_SL')",0.09,0.951,2.213, Time_Spend_Company:3 
1632,3_T,"('2_NP', 'insufficient_LE', 'standard_H', 'N_WA', 'N_P')",0.086,0.947,2.205, Time_Spend_Company:3 
1637,3_T,"('2_NP', 'insufficient_LE', 'standard_H', 'N_WA')",0.086,0.947,2.204, Time_Spend_Company:3 
1612,3_T,"('2_NP', 'insufficient_LE', 'low_S', 'N_WA', 'N_P')",0.053,0.945,2.2, Time_Spend_Company:3 
1617,3_T,"('2_NP', 'insufficient_LE', 'low_S', 'N_WA')",0.053,0.945,2.2, Time_Spend_Company:3 
1642,3_T,"('2_NP', 'insufficient_LE', 'standard_H', 'N_P')",0.09,0.944,2.197, Time_Spend_Company:3 
1646,3_T,"('2_NP', 'insufficient_LE', 'standard_H')",0.091,0.942,2.193, Time_Spend_Company:3 
2963,3_T,"('Y_L', 'medium_SL', 'low_S')",0.063,0.94,2.189, Time_Spend_Company:3 
2959,3_T,"('Y_L', 'medium_SL', 'low_S', 'N_P')",0.063,0.94,2.188, Time_Spend_Company:3 
2954,3_T,"('Y_L', 'medium_SL', 'low_S', 'N_WA')",0.06,0.94,2.188, Time_Spend_Company:3 
2949,3_T,"('Y_L', 'medium_SL', 'low_S', 'N_WA', 'N_P')",0.06,0.939,2.187, Time_Spend_Company:3 
2998,3_T,"('Y_L', 'medium_SL')",0.103,0.936,2.179, Time_Spend_Company:3 
2996,3_T,"('Y_L', 'medium_SL', 'N_P')",0.102,0.936,2.178, Time_Spend_Company:3 
2992,3_T,"('Y_L', 'medium_SL', 'N_WA')",0.098,0.935,2.177, Time_Spend_Company:3 
1626,3_T,"('2_NP', 'insufficient_LE', 'low_S')",0.056,0.935,2.177, Time_Spend_Company:3 
1622,3_T,"('2_NP', 'insufficient_LE', 'low_S', 'N_P')",0.056,0.935,2.176, Time_Spend_Company:3 
2988,3_T,"('Y_L', 'medium_SL', 'N_WA', 'N_P')",0.097,0.935,2.176, Time_Spend_Company:3 
1731,3_T,"('2_NP', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.062,0.932,2.17, Time_Spend_Company:3 
1725,3_T,"('2_NP', 'medium_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.062,0.932,2.169, Time_Spend_Company:3 
3077,3_T,"('Y_L', 'standard_H')",0.102,0.928,2.161, Time_Spend_Company:3 
3072,3_T,"('Y_L', 'standard_H', 'N_WA')",0.098,0.928,2.161, Time_Spend_Company:3 
3069,3_T,"('Y_L', 'standard_H', 'N_WA', 'N_P')",0.097,0.928,2.16, Time_Spend_Company:3 
3075,3_T,"('Y_L', 'standard_H', 'N_P')",0.101,0.927,2.159, Time_Spend_Company:3 
1742,3_T,"('2_NP', 'medium_SL', 'low_S', 'standard_H')",0.066,0.924,2.151, Time_Spend_Company:3 
1651,3_T,"('2_NP', 'insufficient_LE', 'N_WA', 'N_P')",0.086,0.924,2.151, Time_Spend_Company:3 
1737,3_T,"('2_NP', 'medium_SL', 'low_S', 'standard_H', 'N_P')",0.065,0.924,2.15, Time_Spend_Company:3 
1655,3_T,"('2_NP', 'insufficient_LE', 'N_WA')",0.087,0.924,2.15, Time_Spend_Company:3 
3050,3_T,"('Y_L', 'low_S', 'standard_H', 'N_WA')",0.06,0.922,2.147, Time_Spend_Company:3 
3046,3_T,"('Y_L', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.06,0.922,2.146, Time_Spend_Company:3 
3057,3_T,"('Y_L', 'low_S', 'standard_H')",0.063,0.921,2.144, Time_Spend_Company:3 
3054,3_T,"('Y_L', 'low_S', 'standard_H', 'N_P')",0.062,0.92,2.142, Time_Spend_Company:3 
1659,3_T,"('2_NP', 'insufficient_LE', 'N_P')",0.091,0.919,2.139, Time_Spend_Company:3 
1662,3_T,"('2_NP', 'insufficient_LE')",0.092,0.918,2.136, Time_Spend_Company:3 
1768,3_T,"('2_NP', 'medium_SL', 'standard_H', 'N_WA', 'N_P')",0.103,0.907,2.112, Time_Spend_Company:3 
1773,3_T,"('2_NP', 'medium_SL', 'standard_H', 'N_WA')",0.103,0.906,2.109, Time_Spend_Company:3 
1753,3_T,"('2_NP', 'medium_SL', 'low_S', 'N_WA')",0.064,0.905,2.107, Time_Spend_Company:3 
1748,3_T,"('2_NP', 'medium_SL', 'low_S', 'N_WA', 'N_P')",0.063,0.905,2.106, Time_Spend_Company:3 
1778,3_T,"('2_NP', 'medium_SL', 'standard_H', 'N_P')",0.108,0.901,2.097, Time_Spend_Company:3 
2402,high_SL,"('2_T', 'very good_LE', 'N_P')",0.083,1.0,2.061, Satisfaction_Level:high 
5145,high_SL,"('very good_LE', 'low_S', 'N_L')",0.129,1.0,2.061, Satisfaction_Level:high 
4962,high_SL,"('very good_LE', 'medium_S', 'standard_H')",0.061,1.0,2.061, Satisfaction_Level:high 
5104,high_SL,"('very good_LE', 'low_S', 'intensive_H', 'N_L', 'N_WA')",0.054,1.0,2.061, Satisfaction_Level:high 
5149,high_SL,"('very good_LE', 'low_S', 'N_WA', 'N_P')",0.132,1.0,2.061, Satisfaction_Level:high 
5152,high_SL,"('very good_LE', 'low_S', 'N_WA')",0.134,1.0,2.061, Satisfaction_Level:high 
5081,high_SL,"('very good_LE', 'low_S', 'standard_H', 'N_L')",0.062,1.0,2.061, Satisfaction_Level:high 
5138,high_SL,"('very good_LE', 'low_S', 'N_L', 'N_WA')",0.106,1.0,2.061, Satisfaction_Level:high 
2404,high_SL,"('2_T', 'very good_LE')",0.084,1.0,2.061, Satisfaction_Level:high 
5155,high_SL,"('very good_LE', 'low_S', 'N_P')",0.156,1.0,2.061, Satisfaction_Level:high 
5157,high_SL,"('very good_LE', 'low_S')",0.157,1.0,2.061, Satisfaction_Level:high 
5162,high_SL,"('very good_LE', 'standard_H', 'N_L', 'N_WA', 'N_P')",0.109,1.0,2.061, Satisfaction_Level:high 
5166,high_SL,"('very good_LE', 'standard_H', 'N_L', 'N_WA')",0.112,1.0,2.061, Satisfaction_Level:high 
5170,high_SL,"('very good_LE', 'standard_H', 'N_L', 'N_P')",0.132,1.0,2.061, Satisfaction_Level:high 
5142,high_SL,"('very good_LE', 'low_S', 'N_L', 'N_P')",0.127,1.0,2.061, Satisfaction_Level:high 
5078,high_SL,"('very good_LE', 'low_S', 'standard_H', 'N_L', 'N_P')",0.061,1.0,2.061, Satisfaction_Level:high 
4998,high_SL,"('very good_LE', 'medium_S', 'intensive_H')",0.084,1.0,2.061, Satisfaction_Level:high 
2396,high_SL,"('2_T', 'very good_LE', 'N_WA', 'N_P')",0.068,1.0,2.061, Satisfaction_Level:high 
2392,high_SL,"('2_T', 'very good_LE', 'N_L')",0.083,1.0,2.061, Satisfaction_Level:high 
2389,high_SL,"('2_T', 'very good_LE', 'N_L', 'N_P')",0.082,1.0,2.061, Satisfaction_Level:high 
5088,high_SL,"('very good_LE', 'low_S', 'standard_H', 'N_WA')",0.054,1.0,2.061, Satisfaction_Level:high 
5091,high_SL,"('very good_LE', 'low_S', 'standard_H', 'N_P')",0.062,1.0,2.061, Satisfaction_Level:high 
2385,high_SL,"('2_T', 'very good_LE', 'N_L', 'N_WA')",0.069,1.0,2.061, Satisfaction_Level:high 
2381,high_SL,"('2_T', 'very good_LE', 'N_L', 'N_WA', 'N_P')",0.067,1.0,2.061, Satisfaction_Level:high 
5118,high_SL,"('very good_LE', 'low_S', 'intensive_H', 'N_WA', 'N_P')",0.079,1.0,2.061, Satisfaction_Level:high 
5113,high_SL,"('very good_LE', 'low_S', 'intensive_H', 'N_L')",0.066,1.0,2.061, Satisfaction_Level:high 
5122,high_SL,"('very good_LE', 'low_S', 'intensive_H', 'N_WA')",0.08,1.0,2.061, Satisfaction_Level:high 
5126,high_SL,"('very good_LE', 'low_S', 'intensive_H', 'N_P')",0.093,1.0,2.061, Satisfaction_Level:high 
5129,high_SL,"('very good_LE', 'low_S', 'intensive_H')",0.094,1.0,2.061, Satisfaction_Level:high 
5085,high_SL,"('very good_LE', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.053,1.0,2.061, Satisfaction_Level:high 
2399,high_SL,"('2_T', 'very good_LE', 'N_WA')",0.07,1.0,2.061, Satisfaction_Level:high 
5134,high_SL,"('very good_LE', 'low_S', 'N_L', 'N_WA', 'N_P')",0.105,1.0,2.061, Satisfaction_Level:high 
5109,high_SL,"('very good_LE', 'low_S', 'intensive_H', 'N_L', 'N_P')",0.066,1.0,2.061, Satisfaction_Level:high 
4982,high_SL,"('very good_LE', 'medium_S', 'intensive_H', 'N_L')",0.065,1.0,2.061, Satisfaction_Level:high 
5173,high_SL,"('very good_LE', 'standard_H', 'N_L')",0.135,1.0,2.061, Satisfaction_Level:high 
5177,high_SL,"('very good_LE', 'standard_H', 'N_WA', 'N_P')",0.111,1.0,2.061, Satisfaction_Level:high 
5074,high_SL,"('very good_LE', 'low_S', 'standard_H', 'N_L', 'N_WA')",0.052,1.0,2.061, Satisfaction_Level:high 
5070,high_SL,"('very good_LE', 'low_S', 'standard_H', 'N_L', 'N_WA', 'N_P')",0.052,1.0,2.061, Satisfaction_Level:high 
2085,high_SL,"('1_D', 'very good_LE')",0.059,1.0,2.061, Satisfaction_Level:high 
5003,high_SL,"('very good_LE', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.1,1.0,2.061, Satisfaction_Level:high 
2083,high_SL,"('1_D', 'very good_LE', 'N_P')",0.058,1.0,2.061, Satisfaction_Level:high 
2080,high_SL,"('1_D', 'very good_LE', 'N_WA')",0.05,1.0,2.061, Satisfaction_Level:high 
5026,high_SL,"('very good_LE', 'medium_S')",0.145,1.0,2.061, Satisfaction_Level:high 
5024,high_SL,"('very good_LE', 'medium_S', 'N_P')",0.14,1.0,2.061, Satisfaction_Level:high 
5021,high_SL,"('very good_LE', 'medium_S', 'N_WA')",0.122,1.0,2.061, Satisfaction_Level:high 
5018,high_SL,"('very good_LE', 'medium_S', 'N_WA', 'N_P')",0.118,1.0,2.061, Satisfaction_Level:high 
5014,high_SL,"('very good_LE', 'medium_S', 'N_L')",0.126,1.0,2.061, Satisfaction_Level:high 
4978,high_SL,"('very good_LE', 'medium_S', 'intensive_H', 'N_L', 'N_P')",0.062,1.0,2.061, Satisfaction_Level:high 
5011,high_SL,"('very good_LE', 'medium_S', 'N_L', 'N_P')",0.121,1.0,2.061, Satisfaction_Level:high 
4995,high_SL,"('very good_LE', 'medium_S', 'intensive_H', 'N_P')",0.08,1.0,2.061, Satisfaction_Level:high 
4991,high_SL,"('very good_LE', 'medium_S', 'intensive_H', 'N_WA')",0.071,1.0,2.061, Satisfaction_Level:high 
4987,high_SL,"('very good_LE', 'medium_S', 'intensive_H', 'N_WA', 'N_P')",0.069,1.0,2.061, Satisfaction_Level:high 
5007,high_SL,"('very good_LE', 'medium_S', 'N_L', 'N_WA')",0.104,1.0,2.061, Satisfaction_Level:high 
5221,high_SL,"('very good_LE', 'intensive_H')",0.192,1.0,2.061, Satisfaction_Level:high 
5218,high_SL,"('very good_LE', 'intensive_H', 'N_P')",0.188,1.0,2.061, Satisfaction_Level:high 
5214,high_SL,"('very good_LE', 'intensive_H', 'N_WA')",0.164,1.0,2.061, Satisfaction_Level:high 
2208,high_SL,"('5_NP', 'very good_LE')",0.082,1.0,2.061, Satisfaction_Level:high 
5180,high_SL,"('very good_LE', 'standard_H', 'N_WA')",0.114,1.0,2.061, Satisfaction_Level:high 
5183,high_SL,"('very good_LE', 'standard_H', 'N_P')",0.133,1.0,2.061, Satisfaction_Level:high 
4968,high_SL,"('very good_LE', 'medium_S', 'intensive_H', 'N_L', 'N_WA', 'N_P')",0.052,1.0,2.061, Satisfaction_Level:high 
4973,high_SL,"('very good_LE', 'medium_S', 'intensive_H', 'N_L', 'N_WA')",0.054,1.0,2.061, Satisfaction_Level:high 
5185,high_SL,"('very good_LE', 'standard_H')",0.137,1.0,2.061, Satisfaction_Level:high 
5191,high_SL,"('very good_LE', 'intensive_H', 'N_L', 'N_WA', 'N_P')",0.117,1.0,2.061, Satisfaction_Level:high 
5196,high_SL,"('very good_LE', 'intensive_H', 'N_L', 'N_WA')",0.12,1.0,2.061, Satisfaction_Level:high 
2206,high_SL,"('5_NP', 'very good_LE', 'N_P')",0.08,1.0,2.061, Satisfaction_Level:high 
5210,high_SL,"('very good_LE', 'intensive_H', 'N_WA', 'N_P')",0.161,1.0,2.061, Satisfaction_Level:high 
2203,high_SL,"('5_NP', 'very good_LE', 'N_WA')",0.071,1.0,2.061, Satisfaction_Level:high 
5201,high_SL,"('very good_LE', 'intensive_H', 'N_L', 'N_P')",0.141,1.0,2.061, Satisfaction_Level:high 
2196,high_SL,"('5_NP', 'very good_LE', 'N_L')",0.054,1.0,2.061, Satisfaction_Level:high 
2193,high_SL,"('5_NP', 'very good_LE', 'N_L', 'N_P')",0.053,1.0,2.061, Satisfaction_Level:high 
2189,high_SL,"('5_NP', 'very good_LE', 'intensive_H')",0.056,1.0,2.061, Satisfaction_Level:high 
2186,high_SL,"('5_NP', 'very good_LE', 'intensive_H', 'N_P')",0.055,1.0,2.061, Satisfaction_Level:high 
5205,high_SL,"('very good_LE', 'intensive_H', 'N_L')",0.146,1.0,2.061, Satisfaction_Level:high 
2200,high_SL,"('5_NP', 'very good_LE', 'N_WA', 'N_P')",0.069,1.0,2.061, Satisfaction_Level:high 
5099,high_SL,"('very good_LE', 'low_S', 'intensive_H', 'N_L', 'N_WA', 'N_P')",0.053,1.0,2.061, Satisfaction_Level:high 
4814,high_SL,"('very good_LE', '3_T', 'standard_H', 'N_L', 'N_P')",0.063,1.0,2.061, Satisfaction_Level:high 
4796,high_SL,"('very good_LE', '3_T', 'low_S', 'N_P')",0.06,1.0,2.061, Satisfaction_Level:high 
3751,high_SL,"('3_NP', 'very good_LE')",0.102,1.0,2.061, Satisfaction_Level:high 
4831,high_SL,"('very good_LE', '3_T', 'standard_H', 'N_P')",0.063,1.0,2.061, Satisfaction_Level:high 
4890,high_SL,"('very good_LE', '3_T')",0.13,1.0,2.061, Satisfaction_Level:high 
4827,high_SL,"('very good_LE', '3_T', 'standard_H', 'N_WA')",0.055,1.0,2.061, Satisfaction_Level:high 
4823,high_SL,"('very good_LE', '3_T', 'standard_H', 'N_WA', 'N_P')",0.053,1.0,2.061, Satisfaction_Level:high 
4818,high_SL,"('very good_LE', '3_T', 'standard_H', 'N_L')",0.065,1.0,2.061, Satisfaction_Level:high 
455,high_SL,"('2_D', 'very good_LE')",0.051,1.0,2.061, Satisfaction_Level:high 
4809,high_SL,"('very good_LE', '3_T', 'standard_H', 'N_L', 'N_WA')",0.055,1.0,2.061, Satisfaction_Level:high 
4804,high_SL,"('very good_LE', '3_T', 'standard_H', 'N_L', 'N_WA', 'N_P')",0.053,1.0,2.061, Satisfaction_Level:high 
414,high_SL,"('Y_WA', 'very good_LE')",0.051,1.0,2.061, Satisfaction_Level:high 
4798,high_SL,"('very good_LE', '3_T', 'low_S')",0.061,1.0,2.061, Satisfaction_Level:high 
4793,high_SL,"('very good_LE', '3_T', 'low_S', 'N_WA')",0.051,1.0,2.061, Satisfaction_Level:high 
4107,high_SL,"('0_D', 'very good_LE', 'N_L', 'N_P')",0.076,1.0,2.061, Satisfaction_Level:high 
