ITEMSET,SUPPORT
"('4_LE', '3_NP', 'N_L', 'N_P')",0.02
"('4_LE', '3_NP', 'N_P')",0.02
"('4_LE', '0_D')",0.03
"('4_LE', '0_D', 'N_WA')",0.02
"('4_LE', '0_D', 'N_WA', 'N_P')",0.02
"('4_LE', '0_D', 'N_P')",0.03
"('4_LE', '4_NP')",0.02
"('4_LE', '4_NP', 'N_P')",0.02
"('4_LE', '3_T')",0.06
"('4_LE', '3_T', 'medium_S')",0.02
"('4_LE', '3_T', 'medium_S', 'N_P')",0.02
"('4_LE', '3_T', 'low_S')",0.03
"('4_LE', '3_T', 'low_S', 'N_WA', 'N_P')",0.03
"('4_LE', '3_T', 'low_S', 'N_P')",0.03
"('4_LE', '3_T', 'N_L')",0.03
"('4_LE', '3_T', 'N_L', 'N_WA')",0.02
"('4_LE', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('4_LE', '3_T', 'N_L', 'N_P')",0.02
"('4_LE', '3_T', 'N_WA')",0.05
"('4_LE', '3_T', 'N_WA', 'N_P')",0.05
"('4_LE', '3_T', 'N_P')",0.06
"('4_LE', 'medium_S')",0.04
"('4_LE', 'medium_S', 'N_L')",0.03
"('4_LE', 'medium_S', 'N_L', 'N_WA')",0.02
"('4_LE', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('4_LE', 'medium_S', 'N_L', 'N_P')",0.03
"('4_LE', 'medium_S', 'N_WA')",0.03
"('4_LE', 'medium_S', 'N_WA', 'N_P')",0.03
"('4_LE', 'medium_S', 'N_P')",0.04
"('4_LE', 'low_S')",0.04
"('4_LE', 'low_S', 'N_L')",0.02
"('4_LE', 'low_S', 'N_L', 'N_P')",0.02
"('4_LE', 'low_S', 'N_WA', 'N_P')",0.04
"('4_LE', 'low_S', 'N_P')",0.04
"('4_LE', 'N_L')",0.06
"('4_LE', 'N_L', 'N_WA')",0.05
"('4_LE', 'N_L', 'N_WA', 'N_P')",0.05
"('4_LE', 'N_L', 'N_P')",0.06
"('4_LE', 'N_WA')",0.08
"('4_LE', 'N_WA', 'N_P')",0.08
"('4_LE', 'N_P')",0.09
"('10_H', '5_NP')",0.02
"('10_H', '5_NP', 'N_WA')",0.02
"('10_H', '5_NP', 'N_WA', 'N_P')",0.02
"('10_H', '5_NP', 'N_P')",0.02
"('10_H', 'Y_L', 'N_WA', 'N_P')",0.02
"('10_H', 'Y_L', 'N_P')",0.02
"('10_H', '3_NP')",0.02
"('10_H', '3_NP', 'N_L')",0.02
"('10_H', '3_NP', 'N_L', 'N_WA')",0.02
"('10_H', '3_NP', 'N_L', 'N_P')",0.02
"('10_H', '3_NP', 'N_WA')",0.02
"('10_H', '3_NP', 'N_P')",0.02
"('10_H', '0_D')",0.03
"('10_H', '0_D', 'N_WA')",0.02
"('10_H', '0_D', 'N_WA', 'N_P')",0.02
"('10_H', '0_D', 'N_P')",0.03
"('10_H', '4_NP')",0.03
"('10_H', '4_NP', 'N_L')",0.02
"('10_H', '4_NP', 'N_L', 'N_P')",0.02
"('10_H', '4_NP', 'N_WA')",0.03
"('10_H', '4_NP', 'N_WA', 'N_P')",0.03
"('10_H', '4_NP', 'N_P')",0.03
"('10_H', '3_T')",0.03
"('10_H', '3_T', 'N_L')",0.03
"('10_H', '3_T', 'N_L', 'N_WA')",0.03
"('10_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('10_H', '3_T', 'N_L', 'N_P')",0.03
"('10_H', '3_T', 'N_WA')",0.03
"('10_H', '3_T', 'N_WA', 'N_P')",0.03
"('10_H', '3_T', 'N_P')",0.03
"('10_H', 'medium_S')",0.04
"('10_H', 'medium_S', 'N_L')",0.03
"('10_H', 'medium_S', 'N_L', 'N_WA')",0.03
"('10_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('10_H', 'medium_S', 'N_L', 'N_P')",0.03
"('10_H', 'medium_S', 'N_WA')",0.04
"('10_H', 'medium_S', 'N_WA', 'N_P')",0.04
"('10_H', 'medium_S', 'N_P')",0.04
"('10_H', 'low_S')",0.04
"('10_H', 'low_S', 'N_L')",0.03
"('10_H', 'low_S', 'N_L', 'N_WA')",0.02
"('10_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('10_H', 'low_S', 'N_L', 'N_P')",0.03
"('10_H', 'low_S', 'N_WA')",0.04
"('10_H', 'low_S', 'N_WA', 'N_P')",0.04
"('10_H', 'low_S', 'N_P')",0.04
"('10_H', 'N_L')",0.07
"('10_H', 'N_L', 'N_WA')",0.06
"('10_H', 'N_L', 'N_WA', 'N_P')",0.06
"('10_H', 'N_L', 'N_P')",0.07
"('10_H', 'N_WA')",0.08
"('10_H', 'N_WA', 'N_P')",0.08
"('10_H', 'N_P')",0.09
"('11_SL', '5_NP')",0.02
"('11_SL', '5_NP', 'N_WA')",0.02
"('11_SL', '5_NP', 'N_WA', 'N_P')",0.02
"('11_SL', '5_NP', 'N_P')",0.02
"('11_SL', '2_T')",0.02
"('11_SL', '2_T', 'N_L')",0.02
"('11_SL', '2_T', 'N_L', 'N_P')",0.02
"('11_SL', '2_T', 'N_P')",0.02
"('11_SL', '3_NP')",0.03
"('11_SL', '3_NP', 'N_L')",0.03
"('11_SL', '3_NP', 'N_L', 'N_WA')",0.02
"('11_SL', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('11_SL', '3_NP', 'N_L', 'N_P')",0.03
"('11_SL', '3_NP', 'N_WA')",0.02
"('11_SL', '3_NP', 'N_WA', 'N_P')",0.02
"('11_SL', '3_NP', 'N_P')",0.03
"('11_SL', '0_D')",0.03
"('11_SL', '0_D', 'N_L')",0.02
"('11_SL', '0_D', 'N_WA')",0.02
"('11_SL', '0_D', 'N_WA', 'N_P')",0.02
"('11_SL', '0_D', 'N_P')",0.03
"('11_SL', '4_NP')",0.04
"('11_SL', '4_NP', 'N_L')",0.03
"('11_SL', '4_NP', 'N_L', 'N_WA')",0.02
"('11_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('11_SL', '4_NP', 'N_L', 'N_P')",0.03
"('11_SL', '4_NP', 'N_WA')",0.03
"('11_SL', '4_NP', 'N_WA', 'N_P')",0.03
"('11_SL', '4_NP', 'N_P')",0.03
"('11_SL', '3_T')",0.04
"('11_SL', '3_T', 'N_L')",0.04
"('11_SL', '3_T', 'N_L', 'N_WA')",0.03
"('11_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('11_SL', '3_T', 'N_L', 'N_P')",0.03
"('11_SL', '3_T', 'N_WA')",0.03
"('11_SL', '3_T', 'N_WA', 'N_P')",0.03
"('11_SL', '3_T', 'N_P')",0.03
"('11_SL', 'medium_S')",0.04
"('11_SL', 'medium_S', 'N_L')",0.03
"('11_SL', 'medium_S', 'N_L', 'N_WA')",0.03
"('11_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('11_SL', 'medium_S', 'N_L', 'N_P')",0.03
"('11_SL', 'medium_S', 'N_WA')",0.03
"('11_SL', 'medium_S', 'N_WA', 'N_P')",0.03
"('11_SL', 'medium_S', 'N_P')",0.04
"('11_SL', 'low_S')",0.04
"('11_SL', 'low_S', 'N_L')",0.03
"('11_SL', 'low_S', 'N_L', 'N_WA')",0.03
"('11_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('11_SL', 'low_S', 'N_L', 'N_P')",0.03
"('11_SL', 'low_S', 'N_WA')",0.04
"('11_SL', 'low_S', 'N_WA', 'N_P')",0.04
"('11_SL', 'low_S', 'N_P')",0.04
"('11_SL', 'N_L')",0.07
"('11_SL', 'N_L', 'N_WA')",0.06
"('11_SL', 'N_L', 'N_WA', 'N_P')",0.06
"('11_SL', 'N_L', 'N_P')",0.07
"('11_SL', 'N_WA')",0.08
"('11_SL', 'N_WA', 'N_P')",0.08
"('11_SL', 'N_P')",0.09
"('5_T', '5_NP')",0.04
"('5_T', '5_NP', 'Y_L', 'N_WA', 'N_P')",0.03
"('5_T', '5_NP', 'Y_L', 'N_P')",0.03
"('5_T', '5_NP', 'low_S', 'N_WA', 'N_P')",0.02
"('5_T', '5_NP', 'low_S', 'N_P')",0.02
"('5_T', '5_NP', 'N_WA')",0.04
"('5_T', '5_NP', 'N_WA', 'N_P')",0.04
"('5_T', '5_NP', 'N_P')",0.04
"('5_T', 'Y_L')",0.06
"('5_T', 'Y_L', 'medium_S')",0.02
"('5_T', 'Y_L', 'medium_S', 'N_WA', 'N_P')",0.02
"('5_T', 'Y_L', 'medium_S', 'N_P')",0.02
"('5_T', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.03
"('5_T', 'Y_L', 'low_S', 'N_P')",0.03
"('5_T', 'Y_L', 'N_WA', 'N_P')",0.05
"('5_T', 'Y_L', 'N_P')",0.06
"('5_T', '0_D')",0.03
"('5_T', '0_D', 'N_WA', 'N_P')",0.02
"('5_T', '0_D', 'N_P')",0.03
"('5_T', '4_NP')",0.03
"('5_T', '4_NP', 'N_WA')",0.03
"('5_T', '4_NP', 'N_WA', 'N_P')",0.03
"('5_T', '4_NP', 'N_P')",0.03
"('5_T', 'medium_S')",0.04
"('5_T', 'medium_S', 'N_WA')",0.03
"('5_T', 'medium_S', 'N_WA', 'N_P')",0.03
"('5_T', 'medium_S', 'N_P')",0.04
"('5_T', 'low_S')",0.05
"('5_T', 'low_S', 'N_L')",0.02
"('5_T', 'low_S', 'N_L', 'N_P')",0.02
"('5_T', 'low_S', 'N_WA')",0.05
"('5_T', 'low_S', 'N_WA', 'N_P')",0.05
"('5_T', 'low_S', 'N_P')",0.05
"('5_T', 'N_L')",0.04
"('5_T', 'N_L', 'N_WA')",0.03
"('5_T', 'N_L', 'N_WA', 'N_P')",0.03
"('5_T', 'N_L', 'N_P')",0.04
"('5_T', 'N_WA')",0.09
"('5_T', 'N_WA', 'N_P')",0.09
"('5_T', 'N_P')",0.1
"('11_LE', '4_T')",0.03
"('11_LE', '4_T', 'N_WA', 'N_P')",0.02
"('11_LE', '4_T', 'N_P')",0.03
"('11_LE', '5_NP', 'N_WA', 'N_P')",0.02
"('11_LE', '5_NP', 'N_P')",0.02
"('11_LE', 'Y_L', 'low_S', 'N_P')",0.02
"('11_LE', 'Y_L', 'N_WA', 'N_P')",0.03
"('11_LE', 'Y_L', 'N_P')",0.03
"('11_LE', '3_NP')",0.02
"('11_LE', '3_NP', 'N_L')",0.02
"('11_LE', '3_NP', 'N_L', 'N_WA')",0.02
"('11_LE', '3_NP', 'N_L', 'N_P')",0.02
"('11_LE', '3_NP', 'N_WA')",0.02
"('11_LE', '3_NP', 'N_P')",0.02
"('11_LE', '0_D')",0.03
"('11_LE', '0_D', 'N_WA')",0.02
"('11_LE', '0_D', 'N_WA', 'N_P')",0.02
"('11_LE', '0_D', 'N_P')",0.03
"('11_LE', '4_NP')",0.03
"('11_LE', '4_NP', 'N_L')",0.02
"('11_LE', '4_NP', 'N_L', 'N_P')",0.02
"('11_LE', '4_NP', 'N_WA')",0.02
"('11_LE', '4_NP', 'N_WA', 'N_P')",0.02
"('11_LE', '4_NP', 'N_P')",0.03
"('11_LE', '3_T')",0.03
"('11_LE', '3_T', 'N_L')",0.03
"('11_LE', '3_T', 'N_L', 'N_WA')",0.02
"('11_LE', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('11_LE', '3_T', 'N_L', 'N_P')",0.02
"('11_LE', '3_T', 'N_WA')",0.02
"('11_LE', '3_T', 'N_WA', 'N_P')",0.02
"('11_LE', '3_T', 'N_P')",0.03
"('11_LE', 'medium_S')",0.04
"('11_LE', 'medium_S', 'N_L')",0.03
"('11_LE', 'medium_S', 'N_L', 'N_WA')",0.02
"('11_LE', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('11_LE', 'medium_S', 'N_L', 'N_P')",0.03
"('11_LE', 'medium_S', 'N_WA')",0.03
"('11_LE', 'medium_S', 'N_WA', 'N_P')",0.03
"('11_LE', 'medium_S', 'N_P')",0.04
"('11_LE', 'low_S')",0.05
"('11_LE', 'low_S', 'N_L')",0.03
"('11_LE', 'low_S', 'N_L', 'N_WA')",0.03
"('11_LE', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('11_LE', 'low_S', 'N_L', 'N_P')",0.03
"('11_LE', 'low_S', 'N_WA')",0.04
"('11_LE', 'low_S', 'N_WA', 'N_P')",0.04
"('11_LE', 'low_S', 'N_P')",0.05
"('11_LE', 'N_L')",0.07
"('11_LE', 'N_L', 'N_WA')",0.06
"('11_LE', 'N_L', 'N_WA', 'N_P')",0.05
"('11_LE', 'N_L', 'N_P')",0.06
"('11_LE', 'N_WA')",0.09
"('11_LE', 'N_WA', 'N_P')",0.09
"('11_LE', 'N_P')",0.1
"('4_H', '2_NP')",0.03
"('4_H', '2_NP', 'Y_L')",0.02
"('4_H', '2_NP', 'Y_L', '3_T')",0.02
"('4_H', '2_NP', 'Y_L', '3_T', 'N_WA')",0.02
"('4_H', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.02
"('4_H', '2_NP', 'Y_L', '3_T', 'N_P')",0.02
"('4_H', '2_NP', 'Y_L', 'N_WA')",0.02
"('4_H', '2_NP', 'Y_L', 'N_WA', 'N_P')",0.02
"('4_H', '2_NP', 'Y_L', 'N_P')",0.02
"('4_H', '2_NP', '3_T')",0.03
"('4_H', '2_NP', '3_T', 'N_WA')",0.02
"('4_H', '2_NP', '3_T', 'N_WA', 'N_P')",0.02
"('4_H', '2_NP', '3_T', 'N_P')",0.03
"('4_H', '2_NP', 'N_WA')",0.03
"('4_H', '2_NP', 'N_WA', 'N_P')",0.03
"('4_H', '2_NP', 'N_P')",0.03
"('4_H', '2_T')",0.02
"('4_H', '2_T', 'N_L')",0.02
"('4_H', '2_T', 'N_L', 'N_P')",0.02
"('4_H', '2_T', 'N_P')",0.02
"('4_H', 'Y_L')",0.03
"('4_H', 'Y_L', '3_T')",0.02
"('4_H', 'Y_L', '3_T', 'N_WA')",0.02
"('4_H', 'Y_L', '3_T', 'N_WA', 'N_P')",0.02
"('4_H', 'Y_L', '3_T', 'N_P')",0.02
"('4_H', 'Y_L', 'N_WA')",0.02
"('4_H', 'Y_L', 'N_WA', 'N_P')",0.02
"('4_H', 'Y_L', 'N_P')",0.02
"('4_H', '3_NP')",0.03
"('4_H', '3_NP', 'N_L')",0.03
"('4_H', '3_NP', 'N_L', 'N_WA')",0.02
"('4_H', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('4_H', '3_NP', 'N_L', 'N_P')",0.03
"('4_H', '3_NP', 'N_WA')",0.02
"('4_H', '3_NP', 'N_WA', 'N_P')",0.02
"('4_H', '3_NP', 'N_P')",0.03
"('4_H', '0_D')",0.03
"('4_H', '0_D', 'N_L')",0.02
"('4_H', '0_D', 'N_L', 'N_P')",0.02
"('4_H', '0_D', 'N_WA')",0.03
"('4_H', '0_D', 'N_WA', 'N_P')",0.02
"('4_H', '0_D', 'N_P')",0.03
"('4_H', '4_NP')",0.03
"('4_H', '4_NP', 'N_L')",0.03
"('4_H', '4_NP', 'N_L', 'N_WA')",0.02
"('4_H', '4_NP', 'N_L', 'N_P')",0.02
"('4_H', '4_NP', 'N_WA')",0.02
"('4_H', '4_NP', 'N_WA', 'N_P')",0.02
"('4_H', '4_NP', 'N_P')",0.02
"('4_H', '3_T')",0.06
"('4_H', '3_T', 'medium_S')",0.02
"('4_H', '3_T', 'medium_S', 'N_WA')",0.02
"('4_H', '3_T', 'medium_S', 'N_P')",0.02
"('4_H', '3_T', 'low_S')",0.03
"('4_H', '3_T', 'low_S', 'N_WA')",0.03
"('4_H', '3_T', 'low_S', 'N_WA', 'N_P')",0.03
"('4_H', '3_T', 'low_S', 'N_P')",0.03
"('4_H', '3_T', 'N_L')",0.03
"('4_H', '3_T', 'N_L', 'N_WA')",0.03
"('4_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('4_H', '3_T', 'N_L', 'N_P')",0.03
"('4_H', '3_T', 'N_WA')",0.05
"('4_H', '3_T', 'N_WA', 'N_P')",0.05
"('4_H', '3_T', 'N_P')",0.06
"('4_H', 'medium_S')",0.04
"('4_H', 'medium_S', 'N_L')",0.03
"('4_H', 'medium_S', 'N_L', 'N_WA')",0.03
"('4_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('4_H', 'medium_S', 'N_L', 'N_P')",0.03
"('4_H', 'medium_S', 'N_WA')",0.04
"('4_H', 'medium_S', 'N_WA', 'N_P')",0.04
"('4_H', 'medium_S', 'N_P')",0.04
"('4_H', 'low_S')",0.05
"('4_H', 'low_S', 'N_L')",0.03
"('4_H', 'low_S', 'N_L', 'N_WA')",0.03
"('4_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('4_H', 'low_S', 'N_L', 'N_P')",0.03
"('4_H', 'low_S', 'N_WA')",0.04
"('4_H', 'low_S', 'N_WA', 'N_P')",0.04
"('4_H', 'low_S', 'N_P')",0.05
"('4_H', 'N_L')",0.07
"('4_H', 'N_L', 'N_WA')",0.06
"('4_H', 'N_L', 'N_WA', 'N_P')",0.06
"('4_H', 'N_L', 'N_P')",0.07
"('4_H', 'N_WA')",0.08
"('4_H', 'N_WA', 'N_P')",0.08
"('4_H', 'N_P')",0.1
"('11_H', '4_T')",0.02
"('11_H', '4_T', 'N_P')",0.02
"('11_H', '5_NP')",0.03
"('11_H', '5_NP', 'N_WA')",0.02
"('11_H', '5_NP', 'N_WA', 'N_P')",0.02
"('11_H', '5_NP', 'N_P')",0.03
"('11_H', '2_T')",0.02
"('11_H', 'Y_L')",0.03
"('11_H', 'Y_L', 'N_WA', 'N_P')",0.03
"('11_H', 'Y_L', 'N_P')",0.03
"('11_H', '3_NP')",0.02
"('11_H', '3_NP', 'N_L')",0.02
"('11_H', '3_NP', 'N_L', 'N_P')",0.02
"('11_H', '3_NP', 'N_P')",0.02
"('11_H', '0_D')",0.03
"('11_H', '0_D', 'N_WA')",0.02
"('11_H', '0_D', 'N_WA', 'N_P')",0.02
"('11_H', '0_D', 'N_P')",0.02
"('11_H', '4_NP')",0.03
"('11_H', '4_NP', 'N_L')",0.03
"('11_H', '4_NP', 'N_L', 'N_WA')",0.02
"('11_H', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('11_H', '4_NP', 'N_L', 'N_P')",0.03
"('11_H', '4_NP', 'N_WA')",0.03
"('11_H', '4_NP', 'N_WA', 'N_P')",0.03
"('11_H', '4_NP', 'N_P')",0.03
"('11_H', '3_T')",0.03
"('11_H', '3_T', 'N_L')",0.03
"('11_H', '3_T', 'N_L', 'N_WA')",0.03
"('11_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('11_H', '3_T', 'N_L', 'N_P')",0.03
"('11_H', '3_T', 'N_WA')",0.03
"('11_H', '3_T', 'N_WA', 'N_P')",0.03
"('11_H', '3_T', 'N_P')",0.03
"('11_H', 'medium_S')",0.04
"('11_H', 'medium_S', 'N_L')",0.03
"('11_H', 'medium_S', 'N_L', 'N_WA')",0.03
"('11_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('11_H', 'medium_S', 'N_L', 'N_P')",0.03
"('11_H', 'medium_S', 'N_WA')",0.04
"('11_H', 'medium_S', 'N_WA', 'N_P')",0.04
"('11_H', 'medium_S', 'N_P')",0.04
"('11_H', 'low_S')",0.05
"('11_H', 'low_S', 'N_L')",0.03
"('11_H', 'low_S', 'N_L', 'N_WA')",0.03
"('11_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('11_H', 'low_S', 'N_L', 'N_P')",0.03
"('11_H', 'low_S', 'N_WA')",0.04
"('11_H', 'low_S', 'N_WA', 'N_P')",0.04
"('11_H', 'low_S', 'N_P')",0.05
"('11_H', 'N_L')",0.07
"('11_H', 'N_L', 'N_WA')",0.06
"('11_H', 'N_L', 'N_WA', 'N_P')",0.06
"('11_H', 'N_L', 'N_P')",0.07
"('11_H', 'N_WA')",0.09
"('11_H', 'N_WA', 'N_P')",0.09
"('11_H', 'N_P')",0.1
"('3_LE', '3_H')",0.02
"('3_LE', '3_H', '3_T', 'N_P')",0.02
"('3_LE', '3_H', 'N_WA')",0.02
"('3_LE', '3_H', 'N_WA', 'N_P')",0.02
"('3_LE', '3_H', 'N_P')",0.02
"('3_LE', '2_NP')",0.05
"('3_LE', '2_NP', 'Y_L')",0.04
"('3_LE', '2_NP', 'Y_L', '3_T')",0.04
"('3_LE', '2_NP', 'Y_L', '3_T', 'low_S')",0.02
"('3_LE', '2_NP', 'Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('3_LE', '2_NP', 'Y_L', '3_T', 'low_S', 'N_P')",0.02
"('3_LE', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.04
"('3_LE', '2_NP', 'Y_L', '3_T', 'N_P')",0.04
"('3_LE', '2_NP', 'Y_L', 'low_S')",0.02
"('3_LE', '2_NP', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.02
"('3_LE', '2_NP', 'Y_L', 'low_S', 'N_P')",0.02
"('3_LE', '2_NP', 'Y_L', 'N_WA', 'N_P')",0.04
"('3_LE', '2_NP', 'Y_L', 'N_P')",0.04
"('3_LE', '2_NP', '3_T')",0.04
"('3_LE', '2_NP', '3_T', 'low_S')",0.02
"('3_LE', '2_NP', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('3_LE', '2_NP', '3_T', 'low_S', 'N_P')",0.02
"('3_LE', '2_NP', '3_T', 'N_WA')",0.04
"('3_LE', '2_NP', '3_T', 'N_WA', 'N_P')",0.04
"('3_LE', '2_NP', '3_T', 'N_P')",0.04
"('3_LE', '2_NP', 'low_S')",0.03
"('3_LE', '2_NP', 'low_S', 'N_WA', 'N_P')",0.02
"('3_LE', '2_NP', 'low_S', 'N_P')",0.03
"('3_LE', '2_NP', 'N_WA')",0.04
"('3_LE', '2_NP', 'N_WA', 'N_P')",0.04
"('3_LE', '2_NP', 'N_P')",0.05
"('3_LE', 'Y_L')",0.04
"('3_LE', 'Y_L', '3_T')",0.04
"('3_LE', 'Y_L', '3_T', 'low_S')",0.02
"('3_LE', 'Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('3_LE', 'Y_L', '3_T', 'low_S', 'N_P')",0.02
"('3_LE', 'Y_L', '3_T', 'N_WA', 'N_P')",0.04
"('3_LE', 'Y_L', '3_T', 'N_P')",0.04
"('3_LE', 'Y_L', 'low_S')",0.02
"('3_LE', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.02
"('3_LE', 'Y_L', 'low_S', 'N_P')",0.02
"('3_LE', 'Y_L', 'N_WA', 'N_P')",0.04
"('3_LE', 'Y_L', 'N_P')",0.04
"('3_LE', '3_NP')",0.02
"('3_LE', '3_NP', 'N_L')",0.02
"('3_LE', '3_NP', 'N_L', 'N_P')",0.02
"('3_LE', '3_NP', 'N_WA')",0.02
"('3_LE', '3_NP', 'N_P')",0.02
"('3_LE', '0_D')",0.03
"('3_LE', '0_D', '3_T')",0.02
"('3_LE', '0_D', '3_T', 'N_WA', 'N_P')",0.02
"('3_LE', '0_D', '3_T', 'N_P')",0.02
"('3_LE', '0_D', 'N_WA')",0.03
"('3_LE', '0_D', 'N_WA', 'N_P')",0.03
"('3_LE', '0_D', 'N_P')",0.03
"('3_LE', '4_NP')",0.03
"('3_LE', '4_NP', 'N_L')",0.03
"('3_LE', '4_NP', 'N_L', 'N_WA')",0.02
"('3_LE', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('3_LE', '4_NP', 'N_L', 'N_P')",0.02
"('3_LE', '4_NP', 'N_WA')",0.02
"('3_LE', '4_NP', 'N_WA', 'N_P')",0.02
"('3_LE', '4_NP', 'N_P')",0.03
"('3_LE', '3_T')",0.07
"('3_LE', '3_T', 'medium_S')",0.03
"('3_LE', '3_T', 'medium_S', 'N_WA')",0.03
"('3_LE', '3_T', 'medium_S', 'N_WA', 'N_P')",0.03
"('3_LE', '3_T', 'medium_S', 'N_P')",0.03
"('3_LE', '3_T', 'low_S')",0.04
"('3_LE', '3_T', 'low_S', 'N_WA', 'N_P')",0.04
"('3_LE', '3_T', 'low_S', 'N_P')",0.04
"('3_LE', '3_T', 'N_L')",0.03
"('3_LE', '3_T', 'N_L', 'N_WA')",0.03
"('3_LE', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('3_LE', '3_T', 'N_L', 'N_P')",0.03
"('3_LE', '3_T', 'N_WA')",0.07
"('3_LE', '3_T', 'N_WA', 'N_P')",0.07
"('3_LE', '3_T', 'N_P')",0.07
"('3_LE', 'medium_S')",0.05
"('3_LE', 'medium_S', 'N_L')",0.03
"('3_LE', 'medium_S', 'N_L', 'N_WA')",0.02
"('3_LE', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('3_LE', 'medium_S', 'N_L', 'N_P')",0.03
"('3_LE', 'medium_S', 'N_WA')",0.04
"('3_LE', 'medium_S', 'N_WA', 'N_P')",0.04
"('3_LE', 'medium_S', 'N_P')",0.04
"('3_LE', 'low_S')",0.06
"('3_LE', 'low_S', 'N_L')",0.03
"('3_LE', 'low_S', 'N_L', 'N_WA')",0.03
"('3_LE', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('3_LE', 'low_S', 'N_L', 'N_P')",0.03
"('3_LE', 'low_S', 'N_WA')",0.05
"('3_LE', 'low_S', 'N_WA', 'N_P')",0.05
"('3_LE', 'low_S', 'N_P')",0.06
"('3_LE', 'N_L')",0.07
"('3_LE', 'N_L', 'N_WA')",0.06
"('3_LE', 'N_L', 'N_WA', 'N_P')",0.06
"('3_LE', 'N_L', 'N_P')",0.07
"('3_LE', 'N_WA')",0.1
"('3_LE', 'N_WA', 'N_P')",0.1
"('3_LE', 'N_P')",0.11
"('3_H', '2_NP')",0.05
"('3_H', '2_NP', 'Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.02
"('3_H', '2_NP', 'Y_L', '3_T', 'low_S', 'N_P')",0.03
"('3_H', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.04
"('3_H', '2_NP', 'Y_L', '3_T', 'N_P')",0.04
"('3_H', '2_NP', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.03
"('3_H', '2_NP', 'Y_L', 'low_S', 'N_P')",0.03
"('3_H', '2_NP', 'Y_L', 'N_WA', 'N_P')",0.04
"('3_H', '2_NP', 'Y_L', 'N_P')",0.04
"('3_H', '2_NP', '3_T', 'low_S', 'N_WA', 'N_P')",0.03
"('3_H', '2_NP', '3_T', 'low_S', 'N_P')",0.03
"('3_H', '2_NP', '3_T', 'N_WA', 'N_P')",0.04
"('3_H', '2_NP', '3_T', 'N_P')",0.05
"('3_H', '2_NP', 'low_S', 'N_WA', 'N_P')",0.03
"('3_H', '2_NP', 'low_S', 'N_P')",0.03
"('3_H', '2_NP', 'N_WA', 'N_P')",0.05
"('3_H', '2_NP', 'N_P')",0.05
"('3_H', '1_D')",0.02
"('3_H', '1_D', 'N_P')",0.02
"('3_H', '2_T')",0.02
"('3_H', '2_T', 'N_L')",0.02
"('3_H', '2_T', 'N_L', 'N_P')",0.02
"('3_H', '2_T', 'N_P')",0.02
"('3_H', 'Y_L')",0.04
"('3_H', 'Y_L', '3_T')",0.04
"('3_H', 'Y_L', '3_T', 'low_S')",0.03
"('3_H', 'Y_L', '3_T', 'low_S', 'N_WA')",0.03
"('3_H', 'Y_L', '3_T', 'N_WA')",0.04
"('3_H', 'Y_L', '3_T', 'N_WA', 'N_P')",0.04
"('3_H', 'Y_L', '3_T', 'N_P')",0.04
"('3_H', 'Y_L', 'low_S')",0.03
"('3_H', 'Y_L', 'low_S', 'N_WA')",0.03
