Consequent,Antecedent,Supp,Conf,Lift
3_T,"('5_SL', '2_NP', 'Y_L', 'N_WA', 'N_P')",0.05,1.0,2.32
Y_L,"('5_SL', '2_NP', '3_T', 'N_WA', 'N_P')",0.05,0.97,4.09
2_NP,"('5_SL', 'Y_L', '3_T', 'N_WA', 'N_P')",0.05,1.0,6.26
N_WA,"('5_SL', '2_NP', 'Y_L', '3_T')",0.06,0.94,1.1
3_T,"('5_SL', '2_NP', 'Y_L', 'N_WA')",0.06,1.0,2.32
Y_L,"('5_SL', '2_NP', '3_T', 'N_WA')",0.06,0.97,4.09
2_NP,"('5_SL', 'Y_L', '3_T', 'N_WA')",0.06,1.0,6.26
N_P,"('5_SL', '2_NP', 'Y_L', '3_T')",0.06,0.99,1.01
3_T,"('5_SL', '2_NP', 'Y_L', 'N_P')",0.06,1.0,2.32
Y_L,"('5_SL', '2_NP', '3_T', 'N_P')",0.06,0.97,4.07
2_NP,"('5_SL', 'Y_L', '3_T', 'N_P')",0.06,1.0,6.26
3_T,"('5_SL', '2_NP', 'Y_L')",0.06,1.0,2.32
Y_L,"('5_SL', '2_NP', '3_T')",0.06,0.97,4.08
2_NP,"('5_SL', 'Y_L', '3_T')",0.06,1.0,6.26
N_P,"('5_SL', '2_NP', 'Y_L', 'N_WA')",0.06,0.99,1.01
N_WA,"('5_SL', '2_NP', 'Y_L', 'N_P')",0.06,0.95,1.11
Y_L,"('5_SL', '2_NP', 'N_WA', 'N_P')",0.06,0.94,3.96
2_NP,"('5_SL', 'Y_L', 'N_WA', 'N_P')",0.06,0.98,6.18
N_WA,"('5_SL', '2_NP', 'Y_L')",0.06,0.94,1.1
Y_L,"('5_SL', '2_NP', 'N_WA')",0.06,0.94,3.96
2_NP,"('5_SL', 'Y_L', 'N_WA')",0.06,0.98,6.18
N_P,"('5_SL', '2_NP', 'Y_L')",0.06,0.99,1.01
Y_L,"('5_SL', '2_NP', 'N_P')",0.06,0.94,3.95
2_NP,"('5_SL', 'Y_L', 'N_P')",0.06,0.98,6.17
Y_L,"('5_SL', '2_NP')",0.06,0.94,3.94
2_NP,"('5_SL', 'Y_L')",0.06,0.98,6.18
N_P,"('5_SL', '2_NP', '3_T', 'N_WA')",0.06,0.99,1.01
N_WA,"('5_SL', '2_NP', '3_T', 'N_P')",0.06,0.94,1.1
3_T,"('5_SL', '2_NP', 'N_WA', 'N_P')",0.06,0.97,2.25
2_NP,"('5_SL', '3_T', 'N_WA', 'N_P')",0.06,0.95,5.97
N_WA,"('5_SL', '2_NP', '3_T')",0.06,0.94,1.1
3_T,"('5_SL', '2_NP', 'N_WA')",0.06,0.97,2.25
2_NP,"('5_SL', '3_T', 'N_WA')",0.06,0.95,5.96
N_P,"('5_SL', '2_NP', '3_T')",0.06,0.99,1.01
3_T,"('5_SL', '2_NP', 'N_P')",0.06,0.97,2.25
2_NP,"('5_SL', '3_T', 'N_P')",0.06,0.94,5.91
3_T,"('5_SL', '2_NP')",0.06,0.96,2.25
2_NP,"('5_SL', '3_T')",0.06,0.94,5.9
N_P,"('5_SL', '2_NP', 'N_WA')",0.06,0.99,1.01
N_WA,"('5_SL', '2_NP', 'N_P')",0.06,0.94,1.1
2_NP,"('5_SL', 'N_WA', 'N_P')",0.06,0.83,5.18
N_WA,"('5_SL', '2_NP')",0.06,0.94,1.1
2_NP,"('5_SL', 'N_WA')",0.06,0.83,5.18
N_P,"('5_SL', '2_NP')",0.06,0.99,1.01
2_NP,"('5_SL', 'N_P')",0.06,0.8,5.03
2_NP,"('5_SL',)",0.06,0.8,5.03
N_P,"('5_SL', 'Y_L', '3_T', 'N_WA')",0.06,0.99,1.01
N_WA,"('5_SL', 'Y_L', '3_T', 'N_P')",0.06,0.95,1.11
3_T,"('5_SL', 'Y_L', 'N_WA', 'N_P')",0.06,0.98,2.29
Y_L,"('5_SL', '3_T', 'N_WA', 'N_P')",0.06,0.93,3.9
N_WA,"('5_SL', 'Y_L', '3_T')",0.06,0.94,1.1
3_T,"('5_SL', 'Y_L', 'N_WA')",0.06,0.98,2.29
Y_L,"('5_SL', '3_T', 'N_WA')",0.06,0.93,3.89
N_P,"('5_SL', 'Y_L', '3_T')",0.06,0.99,1.01
3_T,"('5_SL', 'Y_L', 'N_P')",0.06,0.98,2.29
Y_L,"('5_SL', '3_T', 'N_P')",0.06,0.92,3.85
3_T,"('5_SL', 'Y_L')",0.06,0.98,2.29
Y_L,"('5_SL', '3_T')",0.06,0.92,3.84
N_P,"('5_SL', 'Y_L', 'N_WA')",0.06,0.99,1.01
N_WA,"('5_SL', 'Y_L', 'N_P')",0.06,0.95,1.11
N_WA,"('5_SL', 'Y_L')",0.06,0.94,1.1
N_P,"('5_SL', 'Y_L')",0.06,0.99,1.01
N_P,"('5_SL', '3_T', 'N_WA')",0.06,0.99,1.01
N_WA,"('5_SL', '3_T', 'N_P')",0.06,0.93,1.09
3_T,"('5_SL', 'N_WA', 'N_P')",0.06,0.84,1.95
N_WA,"('5_SL', '3_T')",0.06,0.93,1.09
3_T,"('5_SL', 'N_WA')",0.06,0.84,1.96
N_P,"('5_SL', '3_T')",0.06,0.99,1.01
3_T,"('5_SL', 'N_P')",0.06,0.82,1.91
3_T,"('5_SL',)",0.06,0.82,1.92
N_P,"('5_SL', 'N_WA')",0.07,0.99,1.01
N_WA,"('5_SL', 'N_P')",0.07,0.91,1.07
N_WA,"('5_SL',)",0.07,0.91,1.07
N_P,"('5_SL',)",0.08,0.99,1.01
N_P,"('6_NP', 'N_WA')",0.07,0.99,1.01
N_WA,"('6_NP', 'N_P')",0.07,0.89,1.04
N_WA,"('6_NP',)",0.07,0.89,1.04
N_P,"('6_NP',)",0.08,0.98,1.0
N_P,"('14_SL', 'N_L', 'N_WA')",0.06,0.99,1.01
N_WA,"('14_SL', 'N_L', 'N_P')",0.06,0.82,0.96
N_L,"('14_SL', 'N_WA', 'N_P')",0.06,1.0,1.31
N_WA,"('14_SL', 'N_L')",0.06,0.81,0.95
N_L,"('14_SL', 'N_WA')",0.06,1.0,1.31
N_P,"('14_SL', 'N_L')",0.08,0.98,1.0
N_L,"('14_SL', 'N_P')",0.08,1.0,1.31
N_L,"('14_SL',)",0.08,1.0,1.31
N_P,"('14_SL', 'N_WA')",0.06,0.99,1.01
N_WA,"('14_SL', 'N_P')",0.06,0.82,0.96
N_WA,"('14_SL',)",0.06,0.81,0.95
N_P,"('14_SL',)",0.08,0.98,1.0
N_P,"('8_SL', 'N_L', 'N_WA')",0.06,0.99,1.01
N_WA,"('8_SL', 'N_L', 'N_P')",0.06,0.83,0.97
N_L,"('8_SL', 'N_WA', 'N_P')",0.06,0.97,1.28
N_WA,"('8_SL', 'N_L')",0.06,0.83,0.96
N_L,"('8_SL', 'N_WA')",0.06,0.97,1.28
N_P,"('8_SL', 'N_L')",0.08,0.98,1.0
N_L,"('8_SL', 'N_P')",0.08,0.98,1.28
N_L,"('8_SL',)",0.08,0.98,1.28
N_P,"('8_SL', 'N_WA')",0.07,0.99,1.01
N_WA,"('8_SL', 'N_P')",0.07,0.83,0.97
N_WA,"('8_SL',)",0.07,0.83,0.97
N_P,"('8_SL',)",0.08,0.98,1.0
N_P,"('9_H', 'N_L', 'N_WA')",0.05,0.97,0.99
N_WA,"('9_H', 'N_L', 'N_P')",0.05,0.83,0.97
N_WA,"('9_H', 'N_L')",0.05,0.83,0.97
N_L,"('9_H', 'N_WA')",0.05,0.8,1.05
N_P,"('9_H', 'N_L')",0.06,0.97,0.99
N_L,"('9_H', 'N_P')",0.06,0.81,1.07
N_L,"('9_H',)",0.07,0.82,1.07
N_P,"('9_H', 'N_WA')",0.07,0.97,0.99
N_WA,"('9_H', 'N_P')",0.07,0.85,0.99
N_WA,"('9_H',)",0.07,0.85,0.99
N_P,"('9_H',)",0.08,0.97,0.99
N_P,"('3_D', 'N_L', 'N_WA')",0.05,1.0,1.02
N_WA,"('3_D', 'N_L', 'N_P')",0.05,0.84,0.98
N_WA,"('3_D', 'N_L')",0.05,0.84,0.98
N_P,"('3_D', 'N_L')",0.06,1.0,1.02
N_P,"('3_D', 'N_WA')",0.07,1.0,1.02
N_WA,"('3_D', 'N_P')",0.07,0.87,1.01
N_WA,"('3_D',)",0.07,0.87,1.01
N_P,"('3_D',)",0.08,1.0,1.02
N_P,"('13_SL', 'N_L', 'N_WA')",0.06,0.97,1.0
N_WA,"('13_SL', 'N_L', 'N_P')",0.06,0.84,0.98
N_L,"('13_SL', 'N_WA', 'N_P')",0.06,0.82,1.08
N_WA,"('13_SL', 'N_L')",0.06,0.84,0.98
N_L,"('13_SL', 'N_WA')",0.06,0.83,1.09
N_P,"('13_SL', 'N_L')",0.07,0.97,0.99
N_L,"('13_SL', 'N_P')",0.07,0.84,1.1
N_L,"('13_SL',)",0.07,0.84,1.1
N_P,"('13_SL', 'N_WA')",0.07,0.98,1.0
N_WA,"('13_SL', 'N_P')",0.07,0.85,1.0
N_WA,"('13_SL',)",0.07,0.85,1.0
N_P,"('13_SL',)",0.08,0.98,1.0
N_P,"('high_S', 'N_L', 'N_WA')",0.06,0.94,0.96
N_WA,"('high_S', 'N_L', 'N_P')",0.06,0.84,0.98
N_L,"('high_S', 'N_WA', 'N_P')",0.06,0.92,1.2
N_WA,"('high_S', 'N_L')",0.06,0.83,0.97
N_L,"('high_S', 'N_WA')",0.06,0.92,1.21
N_P,"('high_S', 'N_L')",0.07,0.94,0.96
N_L,"('high_S', 'N_P')",0.07,0.93,1.22
N_L,"('high_S',)",0.08,0.93,1.23
N_P,"('high_S', 'N_WA')",0.07,0.95,0.97
N_WA,"('high_S', 'N_P')",0.07,0.85,0.99
N_WA,"('high_S',)",0.07,0.84,0.99
N_P,"('high_S',)",0.08,0.94,0.96
N_WA,"('14_LE', 'N_L', 'N_P')",0.05,0.82,0.96
N_WA,"('14_LE', 'N_L')",0.05,0.81,0.95
N_P,"('14_LE', 'N_L')",0.06,0.97,0.99
N_P,"('14_LE', 'N_WA')",0.08,0.99,1.01
N_WA,"('14_LE', 'N_P')",0.08,0.87,1.01
N_WA,"('14_LE',)",0.08,0.86,1.0
N_P,"('14_LE',)",0.09,0.98,1.0
N_P,"('10_SL', 'N_L', 'N_WA')",0.06,0.97,1.0
N_WA,"('10_SL', 'N_L', 'N_P')",0.06,0.83,0.97
N_L,"('10_SL', 'N_WA', 'N_P')",0.06,0.85,1.11
N_WA,"('10_SL', 'N_L')",0.06,0.82,0.96
N_L,"('10_SL', 'N_WA')",0.06,0.85,1.11
N_P,"('10_SL', 'N_L')",0.08,0.97,0.99
N_L,"('10_SL', 'N_P')",0.08,0.87,1.14
N_L,"('10_SL',)",0.08,0.87,1.14
N_P,"('10_SL', 'N_WA')",0.07,0.98,1.0
N_WA,"('10_SL', 'N_P')",0.07,0.85,0.99
N_WA,"('10_SL',)",0.08,0.84,0.99
N_P,"('10_SL',)",0.09,0.98,1.0
N_P,"('12_SL', 'N_L', 'N_WA')",0.06,0.96,0.99
N_WA,"('12_SL', 'N_L', 'N_P')",0.06,0.83,0.98
N_WA,"('12_SL', 'N_L')",0.06,0.84,0.98
N_P,"('12_SL', 'N_L')",0.07,0.97,0.99
N_P,"('12_SL', 'N_WA')",0.08,0.97,0.99
N_WA,"('12_SL', 'N_P')",0.08,0.86,1.01
N_WA,"('12_SL',)",0.08,0.86,1.01
N_P,"('12_SL',)",0.09,0.98,1.0
N_P,"('4_LE', '3_T', 'N_WA')",0.05,0.99,1.01
N_WA,"('4_LE', '3_T', 'N_P')",0.05,0.89,1.04
N_WA,"('4_LE', '3_T')",0.05,0.89,1.04
N_P,"('4_LE', '3_T')",0.06,0.99,1.01
N_WA,"('4_LE', 'N_L', 'N_P')",0.05,0.82,0.95
N_WA,"('4_LE', 'N_L')",0.05,0.81,0.95
N_P,"('4_LE', 'N_L')",0.06,0.97,0.99
N_P,"('4_LE', 'N_WA')",0.08,0.98,1.0
N_WA,"('4_LE', 'N_P')",0.08,0.87,1.01
N_WA,"('4_LE',)",0.08,0.87,1.01
N_P,"('4_LE',)",0.09,0.98,1.0
N_P,"('10_H', 'N_L', 'N_WA')",0.06,0.98,1.0
N_WA,"('10_H', 'N_L', 'N_P')",0.06,0.85,0.99
N_WA,"('10_H', 'N_L')",0.06,0.84,0.99
N_P,"('10_H', 'N_L')",0.07,0.97,0.99
N_P,"('10_H', 'N_WA')",0.08,0.99,1.01
N_WA,"('10_H', 'N_P')",0.08,0.88,1.03
N_WA,"('10_H',)",0.08,0.88,1.02
N_P,"('10_H',)",0.09,0.98,1.0
